occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2017-01-18 20:50:00,MURDER,False,2017-01-18 20:50:00,PARKING LOTS / GARAGE,1701 E RIVERSIDE DR,78741.0,9.0,HE,1,456.0,14.0,True,2017-01-23 00:00:00,Murder,30.24437848,-97.73058102,2017.0,1.0,3.0,18.0,20.0
2017-02-05 02:57:00,MURDER,False,2017-02-05 02:57:00,STREETS / HWY / ROAD / ALLEY,9049 GALEWOOD DR,78758.0,4.0,ED,2,235.0,18.2,True,2017-02-08 00:00:00,Murder,30.36796982,-97.71444728,2017.0,2.0,5.0,5.0,2.0
2017-02-23 17:10:00,MURDER,False,2018-05-03 09:26:00,STREETS / HWY / ROAD / ALLEY,5600 PURPLE SAGE DR,78724.0,1.0,CH,7,300.0,,True,2018-05-08 00:00:00,Murder,30.30968426,-97.65469098,2017.0,2.0,8.0,23.0,17.0
2017-03-10 19:53:00,MURDER,False,2017-03-10 19:53:00,STREETS / HWY / ROAD / ALLEY,1603 E 7TH ST,78702.0,3.0,CH,1,410.0,,True,2017-05-05 00:00:00,Murder,30.26358801,-97.72590307,2017.0,3.0,10.0,10.0,19.0
2017-03-12 18:43:00,MURDER,True,2017-03-12 18:43:00,RESIDENCE / HOME,916 BIRD CREEK DR,78758.0,4.0,ED,1,239.0,18.22,False,2017-03-13 00:00:00,Murder,30.37159208,-97.69712841,2017.0,3.0,10.0,12.0,18.0
2017-03-26 21:36:00,MURDER,False,2017-03-27 00:14:00,RESIDENCE / HOME,300 CARMEN CT,78752.0,4.0,ID,8,264.0,,True,2017-04-11 00:00:00,Murder,30.3356347,-97.70749961,2017.0,3.0,12.0,26.0,21.0
2017-04-06 04:38:00,MURDER,False,2017-04-06 05:58:00,PARKING LOTS / GARAGE,1881 GROVE BLVD,78741.0,3.0,HE,3,443.0,,True,2017-04-07 00:00:00,Murder,30.22863192,-97.70615517,2017.0,4.0,14.0,6.0,4.0
2017-05-02 20:30:00,MURDER,True,2017-05-03 12:51:00,RESIDENCE / HOME,7609 WEST GATE BLVD,78745.0,5.0,FR,1,525.0,17.28,True,2017-05-23 00:00:00,Murder,30.19980446,-97.82023775,2017.0,5.0,18.0,2.0,20.0
2017-05-19 07:09:00,MURDER,False,2017-05-19 07:09:00,PARKING LOTS / GARAGE,611 S CONGRESS AVE,78704.0,9.0,HE,1,454.0,14.0,,,Murder,30.25534382,-97.7471366,2017.0,5.0,20.0,19.0,7.0
2017-06-08 23:10:00,CAPITAL MURDER,False,2017-06-08 23:10:00,PARKING LOTS / GARAGE,4509 E ST ELMO RD,78744.0,2.0,FR,5,495.0,24.13,True,2017-06-09 00:00:00,Murder,30.20549246,-97.73862345,2017.0,6.0,23.0,8.0,23.0
2017-06-20 23:14:00,MURDER,True,2017-06-20 23:39:00,RESIDENCE / HOME,5608 CORDELL LN,78723.0,1.0,ID,4,298.0,21.07,True,2017-06-20 00:00:00,Murder,30.3019876,-97.67923196,2017.0,6.0,25.0,20.0,23.0
2017-07-09 01:12:00,MURDER,False,2017-07-09 01:12:00,PARKING LOTS / GARAGE,2501 ANKEN DR,78741.0,3.0,HE,2,457.0,23.16,True,2017-07-12 00:00:00,Murder,30.22935836,-97.72771402,2017.0,7.0,27.0,9.0,1.0
2017-07-26 19:48:00,MURDER,False,2017-07-26 19:48:00,PARKING LOTS / GARAGE,6700 GUADALUPE ST,78752.0,4.0,ID,6,278.0,,True,2017-08-08 00:00:00,Murder,30.33351885,-97.71755122,2017.0,7.0,30.0,26.0,19.0
2017-08-03 23:30:00,MURDER,False,2017-08-03 23:30:00,STREETS / HWY / ROAD / ALLEY,6600 BLOCK MARBLE CREEK LOOP,78747.0,2.0,FR,7,600.0,24.26,True,2017-10-17 00:00:00,Murder,30.16079021,-97.74018754,2017.0,8.0,31.0,3.0,23.0
2017-08-13 20:54:00,MURDER,False,2017-08-14 03:30:00,GAS / SERVICE STATIONS,2545 W ANDERSON LN,78757.0,7.0,BA,6,259.0,15.0,True,2017-08-14 00:00:00,Murder,30.35638593,-97.73231888,2017.0,8.0,32.0,13.0,20.0
2017-08-20 03:22:00,MURDER,False,2017-08-20 06:48:00,PARKING LOTS / GARAGE,8930 GALEWOOD DR,78758.0,4.0,ED,2,235.0,18.2,False,2018-01-10 00:00:00,Murder,30.36649157,-97.71600036,2017.0,8.0,33.0,20.0,3.0
2017-08-23 13:39:00,MANSLAUGHTER,False,2017-08-23 13:39:00,OTHER / UNKNOWN,1809 W RUNDBERG LN,78758.0,4.0,ED,2,235.0,18.2,True,2017-09-21 00:00:00,Murder,30.37119483,-97.71452465,2017.0,8.0,34.0,23.0,13.0
2017-08-27 00:01:00,MURDER,False,2017-08-31 12:46:00,RESIDENCE / HOME,7500 BERKMAN DR,78752.0,1.0,ID,2,266.0,18.11,True,2017-09-05 00:00:00,Murder,30.32878255,-97.68765142,2017.0,8.0,34.0,27.0,0.0
