occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2017-01-01 00:00:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2017-08-10 08:30:00,RESIDENCE / HOME,800 HUNTINGDON PL,78745.0,2.0,FR,3,526.0,,True,2017-08-17 00:00:00,Aggravated Assault,30.1960291,-97.79102086,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:00:00,RAPE,True,2020-10-26 20:00:00,RESIDENCE / HOME,7900 BLOCK GAULT ST,78757.0,7.0,ID,7,248.0,,False,2021-01-26 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:00:00,SEXUAL ASSAULT OF CHILD/OBJECT,True,2018-09-06 08:18:00,RESIDENCE / HOME,5900 BLOCK BOYCE LN,78653.0,1.0,CH,8,226.0,,True,2019-09-03 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:00:00,SEXUAL ASSAULT W/ OBJECT,False,2017-07-12 17:57:00,HOTEL / MOTEL / ETC.,700 BLOCK E 8TH ST,78701.0,9.0,GE,2,382.0,11.0,True,2017-09-05 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:01:00,RAPE,True,2018-07-28 02:38:00,,1500 BLOCK REAGAN HILL DR,78752.0,4.0,ID,2,266,18.11,False,2018-11-09 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:01:00,RAPE,False,2018-09-11 13:41:00,PARKING LOTS / GARAGE,2900 BLOCK N QUINLAN PARK RD,78732.0,,88,88,737.0,,False,2019-01-10 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:07:00,AGGRAVATED ASSAULT,False,2017-01-01 00:07:00,STREETS / HWY / ROAD / ALLEY,600 BLOCK BRAZOS ST,78701.0,9.0,GE,2,381.0,11.0,,,Aggravated Assault,30.26816195,-97.74136237,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:12:00,DEADLY CONDUCT,False,2017-01-01 00:12:00,RESIDENCE / HOME,7600 BARKDALE CT,78744.0,2.0,FR,8,530.0,24.3,False,2017-01-17 00:00:00,Aggravated Assault,30.17366372,-97.76278823,2017.0,1.0,52.0,1.0,0.0
2017-01-01 00:24:00,DEADLY CONDUCT,False,2017-01-01 00:24:00,RESIDENCE / HOME,4405 DOVE DR,78744.0,2.0,FR,5,517.0,24.12,False,2017-02-14 00:00:00,Aggravated Assault,30.19026385,-97.75154433,2017.0,1.0,52.0,1.0,0.0
2017-01-01 02:16:00,AGGRAVATED ASSAULT,False,2017-01-01 02:16:00,STREETS / HWY / ROAD / ALLEY,700 BRAZOS ST,78701.0,9.0,GE,2,381.0,11.0,False,2017-01-13 00:00:00,Aggravated Assault,30.26884954,-97.74122668,2017.0,1.0,52.0,1.0,2.0
2017-01-01 02:30:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-01 02:59:00,RESIDENCE / HOME,12800 TURTLE ROCK RD,78729.0,6.0,AD,4,165.0,204.06,True,2017-01-01 00:00:00,Aggravated Assault,30.45157753,-97.7741391,2017.0,1.0,52.0,1.0,2.0
2017-01-01 03:16:00,ROBBERY BY ASSAULT,False,2017-01-01 03:16:00,STREETS / HWY / ROAD / ALLEY,E 7TH ST / SAN MARCOS ST,78702.0,3.0,CH,1,410.0,,False,2017-01-13 00:00:00,Robbery,30.26589307,-97.73173415,2017.0,1.0,52.0,1.0,3.0
2017-01-01 04:11:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-01 04:11:00,RESIDENCE / HOME,9211 E HUNTERS TRCE,78758.0,4.0,ED,2,235.0,,True,2017-03-27 00:00:00,Aggravated Assault,30.3668104,-97.70979721,2017.0,1.0,52.0,1.0,4.0
2017-01-01 04:20:00,AGGRAVATED ASSAULT,False,2017-01-01 04:20:00,PARKING LOTS / GARAGE,1800 PATTON LN,78723.0,1.0,ID,3,294.0,21.12,False,2017-03-08 00:00:00,Aggravated Assault,30.3186038,-97.68793685,2017.0,1.0,52.0,1.0,4.0
2017-01-01 05:25:00,TAKE WEAPON FRM POLICE OFFICER,False,2017-01-01 05:25:00,STREETS / HWY / ROAD / ALLEY,FM 969 RD / ROGERS LN,78724.0,1.0,CH,6,303.0,22.0,True,2017-01-01 00:00:00,Aggravated Assault,30.27925691,-97.64380386,2017.0,1.0,52.0,1.0,5.0
2017-01-01 06:41:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-01 06:41:00,STREETS / HWY / ROAD / ALLEY,PEACEFUL HILL LN / RALPH ABLANEDO DR,78748.0,2.0,FR,3,537.0,24.22,True,2017-01-18 00:00:00,Aggravated Assault,30.17427779,-97.79105814,2017.0,1.0,52.0,1.0,6.0
2017-01-01 08:07:00,DEADLY CONDUCT,False,2017-01-01 08:07:00,RESIDENCE / HOME,12300 FURROW CV,78753.0,7.0,ED,6,206.0,18.39,False,2017-02-06 00:00:00,Aggravated Assault,30.39395902,-97.66048131,2017.0,1.0,52.0,1.0,8.0
2017-01-01 08:45:00,RAPE,False,2017-01-01 09:01:00,STREETS / HWY / ROAD / ALLEY,200 BLOCK E 10TH ST,78701.0,1.0,GE,1,379.0,,False,2017-02-06 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,8.0
2017-01-01 10:24:00,AGG SEXUAL ASSAULT CHILD/OBJEC,True,2017-01-06 10:24:00,RESIDENCE / HOME,4000 BLOCK DUVAL RD,78759.0,7.0,AD,2,201.0,,False,2017-05-10 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,10.0
2017-01-01 10:30:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-01 11:58:00,HOTEL / MOTEL / ETC.,9420 N IH 35 SVRD SB,78753.0,4.0,ED,1,240,,True,2017-01-10 00:00:00,Aggravated Assault,30.35979391,-97.688358,2017.0,1.0,52.0,1.0,10.0
2017-01-01 14:30:00,RAPE,False,2017-01-01 19:31:00,RESIDENCE / HOME,2100 BLOCK E WILLIAM CANNON DR,78744.0,2.0,FR,8,516.0,24.19,True,2017-09-21 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,14.0
2017-01-01 17:30:00,AGGRAVATED ASSAULT,False,2017-01-01 17:30:00,PARKING LOTS / GARAGE,9329 NORTHGATE BLVD,78758.0,4.0,ED,2,236.0,18.2,False,2017-02-14 00:00:00,Aggravated Assault,30.37310385,-97.71440302,2017.0,1.0,52.0,1.0,17.0
2017-01-01 18:20:00,ROBBERY BY ASSAULT,False,2017-01-01 18:20:00,RESIDENCE / HOME,3300 MANOR RD,78723.0,1.0,BA,4,900.0,,True,2017-01-17 00:00:00,Robbery,30.2872359,-97.70250644,2017.0,1.0,52.0,1.0,18.0
2017-01-01 18:25:00,ARMED ROBBERY,False,2017-01-01 18:35:00,PARKING LOTS / GARAGE,1070 MEARNS MEADOW BLVD,78758.0,4.0,ED,1,239.0,18.22,True,2017-01-01 00:00:00,Robbery,30.36948655,-97.69959977,2017.0,1.0,52.0,1.0,18.0
2017-01-01 21:29:00,AGG FORCED SODOMY,False,2019-08-27 21:29:00,RESIDENCE / HOME,9600 BLOCK MIDDLE FISKVILLE RD,78753.0,4.0,ED,7,241.0,18.33,True,2019-10-29 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,21.0
