occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2019-01-01,AGG ASSAULT,N,2019-01-01 03:34:00,OTHER / UNKNOWN,1934 RUTLAND DR,78758.0,4.0,ED,2,N,2019-01-27 00:00:00,30.37972058,-97.71302423,2019,1,1,1
2019-01-01,AGG ASSAULT,N,2019-01-01 15:50:00,STREETS / HWY / ROAD / ALLEY,1034 CLAYTON LN,78723.0,1.0,ID,5,N,2019-01-02 00:00:00,30.31954409,-97.70329309,2019,1,1,1
2019-01-01,RAPE,N,2019-01-03 21:42:00,RESIDENCE / HOME,8700 BLOCK W SH 71,78736.0,8.0,DA,6,N,2019-03-18 00:00:00,,,2019,1,1,1
2019-01-01,AGG ASSAULT,N,2019-01-01 10:16:00,RESIDENCE / HOME,1802 WEST AVE,78701.0,9.0,BA,2,N,2019-04-02 00:00:00,30.28224941,-97.74668193,2019,1,1,1
2019-01-01,AGG ASSAULT,N,2019-01-01 05:24:00,RESTAURANTS,707 E CESAR CHAVEZ ST,78701.0,9.0,GE,3,N,2019-01-22 00:00:00,30.2609912,-97.73739174,2019,1,1,1
2019-01-01,RAPE,Y,2019-01-01 11:22:00,HOTEL / MOTEL / ETC.,3900 BLOCK RED RIVER ST,78751.0,9.0,BA,5,N,2019-06-14 00:00:00,,,2019,1,1,1
2019-01-01,AGG ASSAULT,N,2019-01-01 10:53:00,STREETS / HWY / ROAD / ALLEY,4410 E RIVERSIDE DR,78741.0,3.0,HE,3,C,2019-03-27 00:00:00,30.23354856,-97.72116797,2019,1,1,1
2019-01-01,AGG ASSAULT,N,2019-01-01 16:34:00,STREETS / HWY / ROAD / ALLEY,301 E 5TH ST,78701.0,9.0,GE,2,N,2019-01-30 00:00:00,30.26613589,-97.74059297,2019,1,1,1
2019-01-02,AGG ASSAULT,N,2019-01-03 10:32:00,OTHER / UNKNOWN,4700 BLOCK MANOR RD,78723.0,9.0,BA,4,C,2019-07-01 00:00:00,,,2019,1,1,2
2019-01-02,RAPE,N,2019-01-02 20:45:00,STREETS / HWY / ROAD / ALLEY,500 BLOCK E 6TH ST,78701.0,9.0,GE,2,N,2019-01-05 00:00:00,,,2019,1,1,2
2019-01-02,AGG ASSAULT,N,2019-01-02 15:41:00,PARKING LOTS / GARAGE,12550 METRIC BLVD,78727.0,7.0,AD,3,N,2019-03-26 00:00:00,30.41447766,-97.69025622,2019,1,1,2
2019-01-03,AGG ROBBERY/DEADLY WEAPON,N,2019-01-03 10:07:00,AUTO DEALERSHIP NEW / USED,13300 N IH 35 SVRD SB,78753.0,7.0,ED,4,N,2019-03-12 00:00:00,30.41890776,-97.67371178,2019,1,1,3
2019-01-03,AGG ASSAULT,N,2019-01-03 19:42:00,STREETS / HWY / ROAD / ALLEY,214 HEARTWOOD DR,78745.0,3.0,DA,3,N,2019-03-01 00:00:00,30.21267107,-97.77307112,2019,1,1,3
2019-01-03,AGG ASSAULT,N,2019-01-03 19:18:00,STREETS / HWY / ROAD / ALLEY,7010 W SH 71,78735.0,8.0,DA,6,C,2019-02-12 00:00:00,30.23579838,-97.87599749,2019,1,1,3
2019-01-04,AGG ASSAULT,N,2019-01-04 12:27:00,STREETS / HWY / ROAD / ALLEY,1100 E CESAR CHAVEZ ST,78702.0,3.0,CH,1,N,2019-01-15 00:00:00,30.26047437,-97.7333344,2019,1,1,4
2019-01-04,RAPE,N,2019-03-08 22:26:00,RESIDENCE / HOME,2800 BLOCK S LAKELINE BLVD,78613.0,6.0,AD,6,C,2019-08-09 00:00:00,,,2019,1,1,4
2019-01-04,AGG ASSAULT,N,2019-01-04 13:04:00,STREETS / HWY / ROAD / ALLEY,300 N IH 35 NB,78753.0,7.0,CH,1,N,2019-04-11 00:00:00,30.26327483,-97.73553388,2019,1,1,4
2019-01-04,AGG ASSAULT,N,2019-01-04 00:32:00,RESIDENCE / HOME,2302 GRANBERRY DR,78745.0,5.0,FR,1,N,2019-02-04 00:00:00,30.20055311,-97.81257176,2019,1,1,4
2019-01-04,AGG ASSAULT,N,2019-01-04 13:03:00,PARKING LOTS / GARAGE,10815 FM 2222 RD,78730.0,6.0,AD,8,N,2019-02-27 00:00:00,30.39467528,-97.84755412,2019,1,1,4
2019-01-05,AGG ASSAULT,N,2019-01-05 17:41:00,HOTEL / MOTEL / ETC.,5526 N IH 35 SVRD SB,78751.0,4.0,ID,6,N,2019-01-08 00:00:00,30.31530425,-97.70845228,2019,1,1,5
2019-01-05,AGG ROBBERY/DEADLY WEAPON,N,2019-01-05 23:36:00,PARKING LOTS / GARAGE,12349 METRIC BLVD,78758.0,7.0,ED,4,C,2019-01-07 00:00:00,30.40977797,-97.69537019,2019,1,1,5
