occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2020-01-01 00:47:00,AGG ASSAULT,False,2020-01-01 19:48:00,RESIDENCE / HOME,8930 GALEWOOD DR,78758.0,4.0,ED,2,235.0,18.2,False,2020-01-02 00:00:00,Aggravated Assault,30.36649157,-97.71600036,2020.0,1.0,1.0,1.0,0.0
2020-01-01 01:00:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2020-01-02 17:01:00,RESIDENCE / HOME,2201 MONTOPOLIS DR,78741.0,3.0,HE,5,459.0,23.12,True,2020-01-02 00:00:00,Aggravated Assault,30.22249725,-97.70447881,2020.0,1.0,1.0,1.0,1.0
2020-01-01 01:15:00,AGG ASSAULT,False,2020-01-01 18:07:00,BAR / NIGHT CLUB,302 E 6TH ST,78701.0,9.0,GE,2,381.0,11.0,False,2020-02-19 00:00:00,Aggravated Assault,30.26761327,-97.74007168,2020.0,1.0,1.0,1.0,1.0
2020-01-01 01:30:00,AGG ASSAULT FAM/DATE VIOLENCE,True,2020-01-01 01:37:00,RESIDENCE / HOME,6600 ED BLUESTEIN BLVD SB,78723.0,1.0,CH,4,299.0,,False,2020-01-14 00:00:00,Aggravated Assault,30.30551917,-97.66162802,2020.0,1.0,1.0,1.0,1.0
2020-01-01 02:23:00,AGG ASLT STRANGLE/SUFFOCATE,True,2020-01-01 02:23:00,RESIDENCE / HOME,1656 RUTLAND DR,78758.0,4.0,ED,2,219.0,18.21,True,2020-01-01 00:00:00,Aggravated Assault,30.37359528,-97.71112885,2020.0,1.0,1.0,1.0,2.0
2020-01-01 02:24:00,AGG ASSAULT,False,2020-01-01 02:24:00,STREETS / HWY / ROAD / ALLEY,7000 GRAND CANYON DR,78752.0,4.0,ID,1,265.0,18.12,True,2020-01-01 00:00:00,Aggravated Assault,30.3270182,-97.69479219,2020.0,1.0,1.0,1.0,2.0
2020-01-01 02:40:00,SEXUAL ASSAULT W/ OBJECT,False,2020-01-01 02:40:00,RESIDENCE / HOME,1700 BLOCK TERI RD,78744.0,2.0,FR,5,493.0,,False,2020-05-08 00:00:00,Rape,,,2020.0,1.0,1.0,1.0,2.0
2020-01-01 04:50:00,AGG ASSAULT,False,2020-01-01 06:22:00,GAS / SERVICE STATIONS,1900 E ANDERSON LN SVRD WB,78754.0,1.0,ID,2,254.0,18.34,False,2020-01-07 00:00:00,Aggravated Assault,30.33033463,-97.67984087,2020.0,1.0,1.0,1.0,4.0
2020-01-01 05:30:00,AGG ASSAULT,False,2020-01-01 06:13:00,RESIDENCE / HOME,7020 GRAND CANYON DR,78752.0,4.0,ID,1,265.0,18.12,True,2020-01-20 00:00:00,Aggravated Assault,30.32619351,-97.69534738,2020.0,1.0,1.0,1.0,5.0
2020-01-01 10:00:00,AGG ASSAULT,False,2020-01-01 17:59:00,RESTAURANTS,2203 HANCOCK DR,78756.0,7.0,BA,6,317.0,2.0,False,2020-03-04 00:00:00,Aggravated Assault,30.32250111,-97.74085057,2020.0,1.0,1.0,1.0,10.0
