occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2003-01-05,MURDER,N,2003-01-05 17:40:00,RESIDENCE / HOME,8615 BOWLING GREEN DR,78757.0,7.0,ID,7,C,2003-02-04 00:00:00,30.36863622,-97.726368,2003,1,1,5
2003-01-16,MURDER,N,2003-01-16 01:02:00,RESIDENCE / HOME,7508 PROVIDENCE AVE,78752.0,4.0,ID,1,C,2003-01-28 00:00:00,30.33353838,-97.69501338,2003,1,3,16
2003-01-30,MURDER,N,2003-01-30 13:27:00,RESIDENCE / HOME,8225 SAM RAYBURN DR,78753.0,4.0,ED,1,C,2003-05-14 00:00:00,30.34778132,-97.69883196,2003,1,5,30
2003-02-10,MURDER,N,2003-02-10 11:36:00,COMMERCIAL / OFFICE BUILDING,403 E BEN WHITE BLVD SVRD EB,78745.0,3.0,DA,3,C,2003-02-19 00:00:00,30.22005429,-97.76051489,2003,2,7,10
2003-02-12,MURDER,N,2003-02-12 16:02:00,RESIDENCE / HOME,2207 WICKERSHAM LN,78741.0,3.0,HE,4,C,2003-06-14 00:00:00,30.22899132,-97.72063244,2003,2,7,12
2003-03-18,MURDER,N,2003-03-18 22:58:00,RESIDENCE / HOME,9807 ABERDEEN WAY,78753.0,4.0,ED,7,C,2003-04-03 00:00:00,30.3578252,-97.67521533,2003,3,12,18
2003-03-24,MURDER,N,2003-03-24 13:58:00,RESIDENCE / HOME,1088 PARK PLZ,78753.0,4.0,ED,3,C,2003-04-22 00:00:00,30.34887091,-97.6852326,2003,3,13,24
2003-03-28,MURDER,N,2003-03-28 16:22:00,SCHOOLS / COLLEGES,7104 BERKMAN DR,78752.0,1.0,ID,2,C,2003-04-07 00:00:00,30.32401839,-97.69002669,2003,3,13,28
2003-04-12,MURDER,Y,2003-04-12 20:07:00,HOTEL / MOTEL / ETC.,2525 E SH 71 SVRD WB,78617.0,2.0,HE,8,C,2003-04-18 00:00:00,30.21279451,-97.65775778,2003,4,15,12
2003-04-14,MURDER,N,2003-04-14 15:55:00,RESIDENCE / HOME,5113 STONE GATE DR,78721.0,1.0,CH,4,C,2003-05-07 00:00:00,30.28374852,-97.67638058,2003,4,16,14
2003-04-15,MURDER,Y,2003-04-15 07:23:00,PARKING LOTS / GARAGE,2167 W ANDERSON LN,78757.0,7.0,ID,7,C,2003-05-02 00:00:00,30.35404266,-97.73001624,2003,4,16,15
2003-04-25,CAPITAL MURDER,N,2003-04-25 22:55:00,RESIDENCE / HOME,1401 E RUNDBERG LN,78753.0,4.0,ED,3,C,2003-05-07 00:00:00,30.35162962,-97.67831952,2003,4,17,25
2003-05-21,MURDER,N,2003-05-23 10:49:00,RESIDENCE / HOME,6914 CARWILL DR,78724.0,1.0,CH,7,O,2004-07-13 00:00:00,30.30128344,-97.64504744,2003,5,21,21
2003-06-28,MURDER,N,2003-06-28 01:49:00,STREETS / HWY / ROAD / ALLEY,1120 1/2 TILLERY ST,78702.0,3.0,CH,2,N,2003-08-28 00:00:00,30.26751028,-97.70156744,2003,6,26,28
2003-07-24,MURDER,N,2003-07-24 21:50:00,RESIDENCE / HOME,4905 MANCHESTER CIR,78745.0,3.0,DA,3,C,2003-09-12 00:00:00,30.21052009,-97.76852387,2003,7,30,24
2003-07-28,MURDER,N,2003-07-28 18:46:00,,7512 BENNETT AVE,78752.0,4.0,ID,1,C,2003-08-31 00:00:00,30.3353221,-97.69802755,2003,7,31,28
2003-08-01,MURDER,N,2003-08-01 06:27:00,RESIDENCE / HOME,5303 NUCKOLS CROSSING RD,78744.0,2.0,FR,6,C,2003-09-03 00:00:00,30.19279497,-97.73866051,2003,8,31,1
2003-08-02,CAPITAL MURDER,Y,2003-08-02 13:30:00,RESIDENCE / HOME,2700 BLOCK S CONGRESS AVE,78704.0,3.0,DA,2,C,2003-11-05 00:00:00,,,2003,8,31,2
2003-08-03,MURDER,N,2003-08-03 04:03:00,RESIDENCE / HOME,1201 RUTLAND DR,78758.0,4.0,ED,1,,,30.36844156,-97.70443366,2003,8,31,3
2003-08-19,MURDER,N,2003-08-19 04:16:00,,3005 E 12TH ST,78702.0,1.0,CH,2,,,30.27627035,-97.70304928,2003,8,34,19
2003-10-06,CAPITAL MURDER,N,2003-10-06 07:57:00,RESIDENCE / HOME,8312 N I 35 SB SVC RD,78753.0,4.0,ID,2,C,2003-12-20 00:00:00,30.34636798,-97.69590556,2003,10,41,6
2003-10-08,MURDER,N,2003-10-08 07:57:00,RESIDENCE / HOME,3800 ARROW DR,78749.0,8.0,DA,7,C,2004-03-15 00:00:00,30.20254572,-97.84272011,2003,10,41,8
