occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,ucr_category,category_description,latitude,longitude,year,month,week,day,hour
2019-01-20 22:00:00,MURDER,False,2019-01-20 22:00:00,RESIDENCE / HOME,9036 N LAMAR BLVD,78758.0,4.0,ED,1,237.0,18.19,,,09A,Murder,30.36030464,-97.69887365,2019.0,1.0,3.0,20.0,22.0
2019-01-25 17:55:00,MURDER,False,2019-01-25 17:55:00,STREETS / HWY / ROAD / ALLEY,8100 BLOCK SONNET AVE,78759.0,10.0,BA,8,231.0,17.07,Cleared,2019-01-25 00:00:00,09A,Murder,30.36601926,-97.74599571,2019.0,1.0,4.0,25.0,17.0
2019-02-24 20:20:00,MURDER,False,2019-02-25 00:24:00,RESIDENCE / HOME,8800 N IH 35 SVRD SB,78753.0,4.0,ED,1,250.0,18.06,Cleared,2019-02-25 00:00:00,09A,Murder,30.35225082,-97.69282075,2019.0,2.0,8.0,24.0,20.0
2019-03-07 19:50:00,MURDER,True,2019-03-07 19:50:00,RESIDENCE / HOME,40 N IH 35 SVRD SB,78701.0,9.0,GE,3,408.0,11.0,Cleared,2019-03-07 00:00:00,09A,Murder,30.25491476,-97.73802399,2019.0,3.0,10.0,7.0,19.0
2019-03-17 18:34:00,MURDER,True,2019-03-17 18:35:00,OTHER / UNKNOWN,ONION CREEK DR / SPRINGVILLE LN,78744.0,2.0,FR,8,531.0,24.3,,,09A,Murder,30.16959671,-97.74603177,2019.0,3.0,11.0,17.0,18.0
2019-03-23 02:19:00,MURDER,True,2019-03-23 02:19:00,RESIDENCE / HOME,8012 BANNOCK LN,78747.0,2.0,FR,7,600.0,24.26,Cleared,2019-03-23 00:00:00,09A,Murder,30.1588329,-97.74281315,2019.0,3.0,12.0,23.0,2.0
2019-03-24 00:29:00,MURDER,False,2019-03-24 00:29:00,RESIDENCE / HOME,1215 SOUTHPORT DR,78704.0,3.0,DA,2,468.0,20.05,Cleared,2019-07-01 00:00:00,09A,Murder,30.23174055,-97.77645505,2019.0,3.0,12.0,24.0,0.0
2019-04-09 22:44:00,MURDER,False,2019-04-09 22:44:00,PARK / PLAYGROUND,3911 E 12TH ST,78721.0,1.0,CH,4,424.0,21.0,Cleared,2019-06-03 00:00:00,09A,Murder,30.27825263,-97.69111511,2019.0,4.0,15.0,9.0,22.0
2019-05-04 10:42:00,MURDER,False,2019-05-04 10:42:00,STREETS / HWY / ROAD / ALLEY,5400 BLOCK S PLEASANT VALLEY RD,78744.0,2.0,FR,5,517.0,,Cleared,2019-06-11 00:00:00,09A,Murder,30.19355427,-97.74478548,2019.0,5.0,18.0,4.0,10.0
2019-05-05 20:05:00,MURDER,False,2019-05-05 21:32:00,HOTEL / MOTEL / ETC.,7928 GESSNER DR,78753.0,4.0,ED,1,592.0,18.04,Cleared,2019-05-28 00:00:00,09A,Murder,30.34375489,-97.70258862,2019.0,5.0,18.0,5.0,20.0
2019-06-23 02:49:00,MURDER,False,2019-06-23 02:49:00,RESIDENCE / HOME,3603 SOUTHRIDGE DR,78704.0,3.0,DA,2,468.0,20.0,Cleared,2020-02-10 00:00:00,09A,Murder,30.23405088,-97.77742329,2019.0,6.0,25.0,23.0,2.0
2019-06-24 20:51:00,MURDER,False,2019-06-24 20:51:00,RESIDENCE / HOME,2609 ROSEWOOD AVE,78702.0,1.0,CH,2,416.0,8.0,Cleared,2019-06-24 00:00:00,09A,Murder,30.27228022,-97.70589574,2019.0,6.0,26.0,24.0,20.0
2019-06-28 01:47:00,MURDER,False,2019-06-28 04:30:00,GAMBLING FACILITY / CASINO / RACE TRACK,11800 N LAMAR BLVD,78758.0,7.0,ED,4,2213.0,18.45,Cleared,2019-07-01 00:00:00,09A,Murder,30.38834509,-97.684066,2019.0,6.0,26.0,28.0,1.0
2019-07-04 15:35:00,MURDER,True,2019-07-07 15:35:00,RESIDENCE / HOME,6201 E HWY 290,,,ID,5,292.0,,Cleared,2019-07-11 00:00:00,09A,Murder,30.31796168,-97.70190647,2019.0,7.0,27.0,4.0,15.0
2019-07-18 23:16:00,MURDER,True,2019-07-18 23:16:00,RESIDENCE / HOME,6407 SPRINGDALE RD,78723.0,1.0,CH,4,324.0,21.08,Cleared,2019-07-25 00:00:00,09A,Murder,30.30642702,-97.66943555,2019.0,7.0,29.0,18.0,23.0
2019-07-20 02:30:00,MURDER,False,2019-07-20 05:44:00,STREETS / HWY / ROAD / ALLEY,4518 TURNSTONE DR,78744.0,2.0,FR,5,517.0,,,,09A,Murder,30.18805095,-97.75037192,2019.0,7.0,29.0,20.0,2.0
2019-07-26 22:36:00,MURDER,False,2019-07-26 22:36:00,RESIDENCE / HOME,4700 E RIVERSIDE DR,78741.0,3.0,HE,3,442.0,,,,09A,Murder,30.23289806,-97.71880686,2019.0,7.0,30.0,26.0,22.0
2019-08-03 08:07:00,MURDER,True,2019-08-04 09:57:00,RESIDENCE / HOME,2501 CHAPARRAL TRL,78744.0,2.0,FR,5,493.0,,Cleared,2019-08-28 00:00:00,09A,Murder,30.1959072,-97.74893975,2019.0,8.0,31.0,3.0,8.0
2019-08-11 01:50:00,MURDER,False,2019-08-11 01:50:00,PARKING LOTS / GARAGE,10205 N LAMAR BLVD,78753.0,4.0,ED,1,240.0,18.23,,,09A,Murder,30.37200762,-97.69139165,2019.0,8.0,32.0,11.0,1.0
2019-08-12 23:04:00,MURDER,True,2019-08-23 23:04:00,RESIDENCE / HOME,8912 N LAMAR BLVD,78758.0,4.0,ED,1,237.0,,Cleared,2020-04-03 00:00:00,09A,Murder,30.35850639,-97.69996937,2019.0,8.0,33.0,12.0,23.0
2019-08-30 01:41:00,MURDER,False,2019-08-30 01:41:00,STREETS / HWY / ROAD / ALLEY,600 SABINE ST,78701.0,9.0,GE,2,382.0,11.0,Cleared,2019-10-16 00:00:00,09A,Murder,30.26654729,-97.73619041,2019.0,8.0,35.0,30.0,1.0
2019-09-10 19:30:00,MURDER,False,2019-09-10 19:30:00,RESIDENCE / HOME,9010 GALEWOOD DR,78758.0,4.0,ED,2,235.0,18.2,Cleared,2019-09-11 00:00:00,09A,Murder,30.36794153,-97.71508242,2019.0,9.0,37.0,10.0,19.0
2019-09-23 00:54:00,MURDER,False,2019-09-23 00:54:00,PARKING LOTS / GARAGE,9010 GALEWOOD DR,78758.0,4.0,ED,2,235.0,18.2,Cleared,2019-09-29 00:00:00,09A,Murder,30.36794153,-97.71508242,2019.0,9.0,39.0,23.0,0.0
2019-10-13 23:58:00,MURDER,False,2019-10-13 23:58:00,STREETS / HWY / ROAD / ALLEY,LYONS RD / FIESTA ST,78702.0,3.0,CH,2,423.0,8.0,Cleared,2020-01-10 00:00:00,09A,Murder,30.26352171,-97.70676778,2019.0,10.0,41.0,13.0,23.0
2019-11-06 07:00:00,MURDER,True,2019-11-06 07:00:00,HOTEL / MOTEL / ETC.,805 NECHES ST,78701.0,9.0,GE,1,383.0,11.0,Cleared,2019-11-06 00:00:00,09A,Murder,30.26921956,-97.7370881,2019.0,11.0,45.0,6.0,7.0
2019-11-21 19:52:00,MURDER,False,2019-11-21 19:52:00,PARKING LOTS / GARAGE,10095 E US 290 HWY SVRD EB,78653.0,1.0,CH,8,271.0,22.12,Cleared,2019-11-26 00:00:00,09A,Murder,30.34119903,-97.58531579,2019.0,11.0,47.0,21.0,19.0
2019-12-06 05:33:00,MURDER,True,2019-12-06 05:33:00,GAS / SERVICE STATIONS,6306 E RIVERSIDE DR,78741.0,3.0,HE,5,444.0,23.12,Cleared,2019-12-06 00:00:00,09A,Murder,30.22503769,-97.70296228,2019.0,12.0,49.0,6.0,5.0
2019-12-12 19:35:00,MURDER,False,2019-12-12 19:35:00,RESIDENCE / HOME,744 W WILLIAM CANNON DR,78745.0,2.0,FR,4,512.0,,Cleared,2019-12-19 00:00:00,09A,Murder,30.19835668,-97.78926252,2019.0,12.0,50.0,12.0,19.0
2019-12-21 20:55:00,MURDER,True,2019-12-21 20:55:00,RESIDENCE / HOME,7501 RIO PASS,78724.0,1.0,CH,7,300.0,,Cleared,2019-12-22 00:00:00,09A,Murder,30.31482542,-97.65590824,2019.0,12.0,51.0,21.0,20.0
