zip_code,Aggravated Assault,Murder,Rape,Robbery
0.0,1,0,0,0
78610.0,2,0,3,0
78613.0,45,1,31,61
78617.0,368,6,158,107
78621.0,2,0,0,0
78634.0,1,0,0,0
78640.0,0,0,3,0
78641.0,1,0,0,0
78645.0,0,0,1,0
78652.0,7,0,1,0
78653.0,36,0,6,4
78660.0,164,3,43,51
78664.0,7,0,7,0
78665.0,0,0,1,0
78669.0,0,0,1,0
78681.0,3,0,3,0
78701.0,2129,32,783,1386
78702.0,2445,30,625,1644
78703.0,171,2,85,112
78704.0,1705,20,799,1027
78705.0,502,8,454,317
78712.0,7,0,4,4
78717.0,158,1,48,41
78719.0,21,0,3,9
78721.0,1297,17,313,448
78722.0,282,4,100,251
78723.0,2677,50,820,1783
78724.0,1161,18,356,340
78725.0,80,1,42,13
78726.0,178,2,93,32
78727.0,425,8,176,157
78728.0,21,1,11,3
78729.0,351,2,151,139
78730.0,34,0,18,4
78731.0,197,6,120,93
78732.0,3,0,2,2
78733.0,2,0,5,1
78735.0,227,3,76,46
78736.0,61,0,31,15
78737.0,8,0,5,2
78738.0,1,0,0,0
78739.0,35,0,37,3
78741.0,4248,63,1383,3038
78742.0,73,1,22,23
78744.0,2377,38,904,948
78745.0,2236,33,857,1010
78746.0,136,3,79,134
78747.0,245,5,96,47
78748.0,868,9,388,325
78749.0,361,11,208,145
78750.0,266,5,138,108
78751.0,538,9,285,399
78752.0,1686,36,501,1223
78753.0,3427,58,1145,2131
78754.0,400,9,165,147
78756.0,158,2,99,99
78757.0,683,11,231,405
78758.0,3199,54,1113,2120
78759.0,580,11,263,295
