location_type,Aggravated Assault,Murder,Rape,Robbery
ABANDONED/CONDEMNED STRUCTURE,21,1,14,12
AMUSEMENT PARK,1,0,1,1
ARENA / STADIUM / FAIRGROUNDS / COLISEUM,3,0,0,0
ATM SEPARATE FROM BANK,2,0,0,8
AUTO DEALERSHIP NEW / USED,13,0,2,2
BANKS / SAVINGS & LOAN,17,1,10,401
BAR / NIGHT CLUB,765,12,162,154
CAMP / CAMPGROUND,50,0,9,4
CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,34,1,26,13
COMMERCIAL / OFFICE BUILDING,411,9,107,946
COMMUNITY CENTER,10,0,1,3
CONSTRUCTION SITE,38,0,10,5
CONVENIENCE STORE,294,4,19,1112
DAYCARE FACILITY,0,0,14,0
DEPARTMENT / DISCOUNT STORE,64,0,6,483
DRUG STORE / DR. OFFICE / HOSPITAL,127,6,244,99
FIELD / WOODS,295,19,223,162
GAMBLING FACILITY / CASINO / RACE TRACK,10,1,1,22
GAS / SERVICE STATIONS,283,8,14,511
GOVERNMENT / PUBLIC BUILDING,113,2,92,88
GROCERY / SUPERMARKET,74,2,4,314
HOTEL / MOTEL / ETC.,797,15,738,404
INDUSTRIAL SITE,6,0,0,1
JAIL / PRISON,6,0,7,0
LAKE / WATERWAY,11,1,7,15
LIQUOR STORE,9,1,0,64
OTHER / UNKNOWN,473,13,881,395
PARK / PLAYGROUND,196,1,97,133
PARKING LOTS / GARAGE,5028,108,573,5119
RENTAL STORAGE FACILITY,21,1,7,3
RESIDENCE / HOME,18121,240,9143,2846
REST AREA,2,0,1,1
RESTAURANTS,263,3,43,485
SCHOOL - COLLEGE / UNIVERSITY,5,0,13,2
SCHOOL - ELEMENTARY / SECONDARY,11,0,21,12
SCHOOLS / COLLEGES,43,2,81,28
SHELTER-MISSION / HOMELESS,24,0,7,2
SHOPPING MALL,11,0,9,41
SPECIALTY  STORE (TV  FUR ETC.),53,0,12,248
STREETS / HWY / ROAD / ALLEY,8558,120,947,6433
TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),110,1,23,123
TRIBAL LANDS,0,0,0,1
