date_of_incident,incident_number,bias,number_of_offenders_over_18,number_of_offenders_under_18,number_of_victims_over_18,number_of_victims_under_18,offense,offense_location,race_or_ethnicity_of_offenders
1/1/2017,2017-241137,anti-black,1,0,1,0,Aggravated Assault,Park/Playground,white
2/1/2017,2017-580344,anti-white,1,0,1,0,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,black
3/21/2017,2017-800291,anti-jewish,0,0,0,0,Destruction,Highway/Road/Alley/Street/Sidewalk,unknown
4/12/2017,2017-1021534,anti-jewish,0,0,0,0,Simple Assault,Air/Bus/Train Terminal,white
5/15/2017,2017-1351550,anti-lgbt,2,1,0,1,Simple Assault,Residence/Home,white
6/4/2017,2017-1550219,anti-lgbt,2,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,white
6/15/2017,2017-1660914,anti-hispanic,1,0,1,0,Intimidation,Bank/Savings and Loan,white
6/17/2017,2017-1681488,anti-black,1,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,white
7/1/2017,2017-1820275,anti-black,1,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,unknown
7/5/2017,2017-1862526,anti-black,1,0,1,0,Intimidation,Residence/Home,unknown
7/20/2017,2017-2011198,anti-lgbt,1,0,1,0,Robbery,Residence/Home,unknown
7/21/2017,2017-2020124,anti-lgbt,1,0,1,0,Destruction,Residence/Home,white
10/15/2017,2017-2880227,anti-black,1,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,hispanic
10/24/2017,2017-2971392,anti-lgbt,0,2,1,0,Intimidation,Residence/Home,hispanic
11/10/2017,2017-3141125,anti-muslim,1,0,1,0,Simple Assault,Restaurant,white
11/16/2017,2017-3200108,anti-muslim,1,0,1,0,Simple Assault,Other/unknown,white
11/26/2017,2017-5043049,anti-hispanic,0,0,1,0,Intimidation,Parking/Drop Lot,unknown
1/19/2018,2018-200595,anti-black,0,0,0,0,Vandalism,Parking Lot/Garage,unknown
1/25/2018,2018-251458,anti-lgbt,1,0,2,0,Burglary/Assault,Residence/Home,white
2/8/2018,2018-400447,anti-lgbt,1,0,1,0,Assault,Parking Lot/Garage,white
2/22/2018,2018-530804,anti-black,1,0,1,0,Vandalism,Highway/Road/Street,white
3/2/2018,2018-611809,anti-hispanic,4,0,1,0,Assault,Highway/Road/Street,black
3/6/2018,2018-651279,anti-muslim,1,1,0,0,Vandalism,Convenience Store,white
3/8/2018,2018-670117,anti-black,1,0,1,0,Assault,Highway/Road/Street,white
4/1/2018,2018-911582,anti-black,1,0,1,0,Intimidation,Parking Lot/Garage,white
4/30/2018,2018-120696,anti-white,1,0,1,0,Assault,Streets/Highway/Road/Alley,hispanic
5/21/2018,2018-1410057,anti-lgbt,1,0,1,0,Assault,Bar/Nightclub,hispanic
6/16/2018,2018-1671923,anti-lgbt,1,0,1,0,Assault,Parking Lot/Garage,hispanic
6/28/2018,2018-1791666,anti-black,1,0,1,0,Assault,Convenience Store,white
8/13/2018,2018-2250662,anti-black,1,0,1,0,Assault,Residence/Home,white
8/25/2018,2018-5033471,anti-black,1,0,1,0,Assault,Convenience Store,asian
9/9/2018,2018-2521623,anti-disability,1,0,1,0,Theft,Bar/Nightclub,hispanic
9/11/2018,2018-2531786,anti-black,1,0,1,0,Aggravated Assault,Church/Synagogue,white
10/11/2018,2018-2840756,anti-hispanic,1,0,0,1,Assault,Park/Playground,white
10/19/2018,2018-2921720,anti-lgbt,1,0,1,0,Assault,Highway/Road/Street,black
12/15/2018,2018-3491016,anti-hispanic,1,0,1,0,Assault,Streets/Highway/Road/Alley,hispanic
12/29/2018,2019-8000242,anti-lgbt,0,0,1,0,Assault,Bar/Nightclub,unknown
1/19/2019,2019-190201,anti-lgbt,4,0,2,0,Assault,Streets/Highway/Road/Alley,white(2) hispanic (2)
2/22/2019,2019-531028,anti-jewish,0,0,1,0,Vandalism,Residence/Home,unknown
3/31/2019,2019-901579,anti-lgbt,1,0,1,0,Assault,Bar/Nightclub,hispanic
4/4/2019,2019-941819,anti-hispanic,3,0,1,0,Assault,School-Elementary/Secondary,hispanic
6/11/2019,2019-1621946,anti-white,2,0,1,0,Criminal Mischief,Hotel/Motel,black
8/6/2019,2019-2181959,anti-muslim,0,3,0,1,Assault,Parking Lot/Garage,hispanic
8/12/2019,2019-2240026,anti-black,1,0,1,0,Intimidation,Drug Store/Dr.'s office/Hospital,white
8/24/2019,2019-2351905,anti-lgbt,1,0,1,0,Assault,Bar/Nightclub,hispanic
11/23/2019,2019-3271657,anti-lgbt,1,0,1,0,Assault,Streets/Highway/Road/Alley,white
12/19/2019,2019-3531078,anti-black,1,0,1,0,Intimidation,Shelter-Mission/Homeless,white
12/30/2019,2019-3641765,anti-black,1,0,1,0,Assault,Streets/Highway/Road/Alley,white
3/1/2020,2020-602085,anti-black,1,0,1,0,Criminal Mischief,Residence/Home,white
3/8/2020,2020-680226,anti-lgbt,2,0,1,0,Assault,Parking Lot,hispanic
3/22/2020,2020-5011788,anti-lgbt,0,0,1,0,Criminal Mischief,Residence/Home,unknown
3/22/2020,2020-5011788,anti-jewish,0,0,1,0,Criminal Mischief,Residence/Home,unknown
4/20/2020,2020-5015689,anti-buddhist,0,0,1,0,Criminal Mischief,Church/Synagogue/Temple/Mosque,unknown
4/29/2020,2020-5016804,anti-lgbt,1,0,1,0,Assault by Threat,Department/Discount Store,black
5/17/2020,2020-1381131,anti-black,1,0,1,0,Assault by Contact,Convenience Store,white
5/20/2020,2020-1410411,anti-hispanic,1,0,1,0,Assault with Injury,Streets/Highway/Road/Alley,white
