,    Bias,Bias,Date of Incident,Date of Incident/Day of Week,Day of Week,Incident Number,Month,Notes,Number of Offenders over 18,Number of Offenders under 18,Number of Victims Over 18,Number of Victims over 18,Number of Victims under 18,Number of vitims under 18,Offense,Offense Location,Offense(s),Race or Ethnic of Offender,Race/Ethnic of Offender(s),Race/Ethnicity of Offenders,Victim Type
0,Anti-Black or African American,,,01/01/2017/Sun,,2017-241137,January,,1,0,1.0,,,0.0,Aggravated Assault,Park/Playground,,White/Not Hispanic,,,Individual
1,Anti-White,,,02/01/2017/Wed,,2017-580344,February,,1,0,1.0,,,0.0,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,,Black or African American/Not Hispanic,,,Individual
2,Anti-Jewish,,,03/21/2017/Tues,,2017-800291,March,,0,0,0.0,,,0.0,Destruction,Highway/Road/Alley/Street/Sidewalk,,Unknown,,,Other
3,Anti-Jewish,,,04/12/2017/Wed,,2017-1021534,April,,0,0,0.0,,,0.0,Simple Assault,Air/Bus/Train Terminal,,White/Unknown,,,Individual
4,Anti-Gay (Male),,,05/15/2017/Mon,,2017-1351550,May,,2,1,0.0,,,1.0,Simple Assault,Residence/Home,,White/Not Hispanic,,,Individual
5,Anti-Gay (Male),,,06/04/2017/Sun,,2017-1550219,June,,2,0,1.0,,,0.0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,,White/Unknown ,,,Individual
6,Anti-Hispanic or Latino,,,6/15/2017/Thurs,,2017-1660914,June,,1,0,1.0,,,0.0,Intimidation,Bank/Savings and Loan,,White/Not Hispanic,,,Individual
7,Anti-Black or African American,,,06/17/2017/Sat,,2017-1681488,June,,1,0,1.0,,,0.0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,,White/Not Hispanic,,,Individual
8,Anti-Black or African American,,,07/01/2017/Sat,,2017-1820275,July,,1,0,1.0,,,0.0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,,Group of Multiple Races,,,Individual
9,Anti-Black or African American,,,07/05/2017/Wed,,2017-1862526,July ,,1,0,1.0,,,0.0,Intimidation,Residence/Home,,Group of Multiple Races,,,Individual
10,Anti-Transgender,,,07/20/2017/Thurs,,2017-2011198,July ,,1,0,1.0,,,0.0,Robbery,Residence/Home,,Group of Multiple Races,,,Individual
11,Anti-Gay (Male),,,7/21/2017/Fri,,2017-2020124,July ,,1,0,1.0,,,0.0,Destruction,Residence/Home,,White/Unknown,,,Individual
12,Anti-Black or African American,,,10/15/2017/Sun,,2017-2880227,October,,1,0,1.0,,,0.0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,,White/Hispanic or Latino,,,Individual
13,Anti-Gay (Male),,,10/24/2017/Tues,,2017-2971392,October,,0,2,1.0,,,0.0,Intimidation,Residence/Home,,White/Hispanic or Latino,,,Individual
14,Anti-Islamic (Muslim),,,11/10/2017/Fri,,2017-3141125,November ,,1,0,1.0,,,0.0,Simple Assault,Restaurant,,White/Not Hispanic,,,Individual
15,Anti-Islamic (Muslim),,,11/16/2017/Thurs,,2017-3200108,November ,,1,0,1.0,,,0.0,Simple Assault,Other/Unknown,,White/Unknown,,,Individual
16,Anti-Hispanic or Latino,,,11/26/2017/Sun,,2017-5043049,November ,,0,0,1.0,,,0.0,Intimidation,Parking/Drop Lot,,Unknown,,,Individual
17,Anti-Lesbian,,,01 25 2018/Thur,,2018-251458,January,,1,0,2.0,,,0.0,,Residence/Home,Burglary/Assault,,White/NotHispanic,,Individual
18,Anti-Black,,,01 19 2018/Fri,,2018-200595,January,,0,0,0.0,,,0.0,,Parking Lot/Garage,Vandalism,,Unknown,,Vehicle
