date_of_incident,number_of_victims_under_18,number_of_victims_over_18,number_of_offenders_under_18,number_of_offenders_over_18,race_or_ethnicity_of_offender,offense,offense_location,bias
1/1/2017,0,1,0,1,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Black
2/1/2017,0,1,0,1,Black or Anti-Black/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-White
3/21/2017,0,0,0,0,Unknown,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish
4/12/2017,0,0,0,0,White/Unknown,Simple Assault,Air/Bus/Train Terminal,Anti-Jewish
5/15/2017,1,0,1,2,White/Not Hispanic,Simple Assault,Residence/Home,Anti-LGBT
6/4/2017,0,1,0,2,White/Unknown ,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-LGBT
6/15/2017,0,1,0,1,White/Not Hispanic,Intimidation,Bank/Savings and Loan,Anti-Hispanic
6/17/2017,0,1,0,1,White/Not Hispanic,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black
7/1/2017,0,1,0,1,Group of Multiple Races,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black
7/5/2017,0,1,0,1,Group of Multiple Races,Intimidation,Residence/Home,Anti-Black
7/20/2017,0,1,0,1,Group of Multiple Races,Robbery,Residence/Home,Anti-LGBT
7/21/2017,0,1,0,1,White/Unknown,Destruction,Residence/Home,Anti-LGBT
10/15/2017,0,1,0,1,White/Hispanic or Latino,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Black
10/24/2017,0,1,2,0,White/Hispanic or Latino,Intimidation,Residence/Home,Anti-LGBT
11/10/2017,0,1,0,1,White/Not Hispanic,Simple Assault,Restaurant,Anti-Muslim
11/16/2017,0,1,0,1,White/Unknown,Simple Assault,Other/Unknown,Anti-Muslim
11/26/2017,0,1,0,0,Unknown,Intimidation,Parking/Drop Lot,Anti-Hispanic
1/25/2018,0,2,0,1,White/NotHispanic,Burglary/Assault,Residence/Home,Anti-LGBT
1/19/2018,0,0,0,0,Unknown,Vandalism,Parking Lot/Garage,Anti-Black
2/8/2018,0,1,0,1,White/NotHispanic,Assault,Parking Lot/Garage,Anti-LGBT
2/22/2018,0,1,0,1,White/NotHispanic,Vandalism,Highway/Road/Street,Anti-Black
3/2/2018,0,1,0,4,Black/Unknown,Assault,Highway/Road/Street,Anti-Hispanic
3/6/2018,0,0,1,1,White/NotHispanic,Vandalism,Convenience Store,Anti-Arab
3/8/2018,0,1,0,1,White/NotHispanic,Assault,Highway/Road/Street,Anti-Black
4/1/2018,0,1,0,1,White/NotHispanic,Intimidation,Parking Lot/Garage,Anti-Black
4/30/2018,0,1,0,1,White/Hispanic,Assault,Streets/Highway/Road/Alley,Anti-White
5/21/2018,0,1,0,1,White/Hispanic,Assault,Bar/Nightclub,Anti-LGBT
6/16/2018,0,1,0,1,White/Hispanic,Assault,Parking Lot/Garage,Anti-LGBT
6/28/2018,0,1,0,1,White/NotHispanic,Assault,Convenience Store,Anti-Black
8/13/2018,0,1,0,1,White/NotHispanic,Assault,Residence/Home,Anti-Black
8/25/2018,0,1,0,1,Asian/NotHispanic,Assault,Convenience Store,Anti-Black
9/9/2018,0,1,0,1,White/Hispanic,Theft,Bar/Nightclub,Anti-Disability
9/11/2018,0,1,0,1,White/NotHispanic,Aggravated Assault,Church/Synagogue,Anti-Black
10/11/2018,1,0,0,1,White/NotHispanic,Assault,Park/Playground,Anti-Hispanic
10/19/2018,0,1,0,1,Black/NotHispanic,Assault,Highway/Road/Street,Anti-LGBT
12/15/2018,0,1,0,1,White/Hispanic,Assault,Streets/Highway/Road/Alley,Anti-Hispanic
12/15/2018,0,1,0,0,Unknown,Assault,Bar/Nightclub,Anti-LGBT
12/29/2018,0,2,0,4,White/Hispanic (2) White/NonHispanic (2),Assault,Streets/Highway/Road/Alley,Anti-LGBT
1/19/2019,0,1,0,0,Unknown,Vandalism,Residence/Home,Anti-Jewish
2/22/2019,0,1,0,1,White/Hispanic,Assault,Bar/Nightclub,Anti-LGBT
3/31/2019,0,1,0,3,White/Hispanic,Assault,School-Elementary/Secondary,Anti-Hispanic
4/4/2019,0,1,0,2,Black/Not Hispanic,Criminal Mischief,Hotel/Motel,Anti-White
6/11/2019,1,0,3,0,White/Hispanic (3),Assault,Parking Lot/Garage,Anti-Muslim
8/6/2019,0,1,0,1,White/Not Hispanic,Intimidation,Drug Store/Dr.'s office/Hospital,Anti-Black
8/12/2019,0,1,0,1,White/Hispanic,Assault,Bar/Nightclub,Anti-LGBT
